Categories,SUM of Total Profit,% Profit,Cumulative,Group,,Categories,SUM of Total Cost,% Profit,Cumulative,Group,,Categories,SUM of Total Revenue,% Profit,Cumulative,Group
Cosmetics,"$10,833,318.09",27.78%,27.78%,A,,Office Supplies,"$27,578,773.60",28.26%,28.26%,A,,Office Supplies,"$34,211,317.35",25.04%,25.04%,A
Office Supplies,"$6,632,543.75",17.01%,44.78%,A,,Household,"$16,680,307.68",17.09%,45.35%,A,,Cosmetics,"$27,240,620.40",19.94%,44.99%,A
Household,"$5,500,910.16",14.11%,58.89%,A,,Cosmetics,"$16,407,302.31",16.81%,62.16%,A,,Household,"$22,181,217.84",16.24%,61.22%,A
Snacks,"$4,088,851.56",10.48%,69.37%,A,,Meat,"$15,944,976.18",16.34%,78.49%,A,,Meat,"$18,445,874.58",13.50%,74.73%,A
Vegetables,"$2,953,663.31",7.57%,76.95%,A,,Snacks,"$7,225,565.76",7.40%,85.90%,B,,Snacks,"$11,314,417.32",8.28%,83.01%,B
Meat,"$2,500,898.40",6.41%,83.36%,B,,Vegetables,"$4,254,341.91",4.36%,90.26%,B,,Vegetables,"$7,208,005.22",5.28%,88.29%,B
Baby Food,"$2,204,971.72",5.65%,89.01%,B,,Baby Food,"$3,666,978.84",3.76%,94.01%,B,,Baby Food,"$5,871,950.56",4.30%,92.59%,B
Clothes,"$1,777,615.20",4.56%,93.57%,B,,Beverages,"$2,573,527.66",2.64%,96.65%,C,,Beverages,"$3,841,267.30",2.81%,95.40%,C
Beverages,"$1,267,739.64",3.25%,96.82%,C,,Personal Care,"$1,467,242.97",1.50%,98.15%,C,,Clothes,"$2,645,122.40",1.94%,97.33%,C
Personal Care,"$648,828.46",1.66%,98.49%,C,,Clothes,"$867,507.20",0.89%,99.04%,C,,Personal Care,"$2,116,071.43",1.55%,98.88%,C
Cereal,"$491,054.37",1.26%,99.75%,C,,Cereal,"$649,140.73",0.67%,99.71%,C,,Cereal,"$1,140,195.10",0.83%,99.72%,C
Fruits,"$99,296.82",0.25%,100.00%,C,,Fruits,"$285,117.84",0.29%,100.00%,C,,Fruits,"$384,414.66",0.28%,100.00%,C
Grand Total,"$38,999,691.48",,,,,Grand Total,"$97,600,782.68",,,,,Grand Total,"$136,600,474.16",,,
