Country,SUM of Total Revenue,SUM of Total Cost,SUM of Total Profit,SUM of Units Sold
Albania,"$32,224,853.87","$21,734,147.85","$10,490,706.02",90608
Andorra,"$47,756,693.17","$32,346,656.54","$15,410,036.63",185686
Armenia,"$37,519,840.21","$28,097,487.03","$9,422,353.18",150665
Austria,"$35,740,871.49","$25,713,361.85","$10,027,509.64",145573
Belarus,"$34,236,260.77","$22,383,839.72","$11,852,421.05",153432
Belgium,"$25,852,572.30","$18,376,512.16","$7,476,060.14",120506
Bosnia and Herzegovina,"$50,117,508.49","$36,859,905.72","$13,257,602.77",153545
Bulgaria,"$38,161,555.70","$27,753,213.09","$10,408,342.61",150088
Croatia,"$27,119,188.24","$19,800,958.79","$7,318,229.45",73945
Cyprus,"$33,008,851.50","$22,976,630.94","$10,032,220.56",158743
Czech Republic,"$53,543,932.14","$39,908,338.36","$13,635,593.78",142446
Denmark,"$26,968,532.52","$17,351,114.46","$9,617,418.06",127360
Estonia,"$23,410,001.79","$15,581,408.23","$7,828,593.56",126232
Finland,"$26,027,948.98","$18,502,586.15","$7,525,362.83",109915
France,"$39,362,112.15","$28,519,766.49","$10,842,345.66",137043
Georgia,"$22,802,195.66","$17,104,516.45","$5,697,679.21",101019
Germany,"$38,055,087.56","$26,472,168.46","$11,582,919.10",130984
Greece,"$38,699,541.70","$26,375,091.57","$12,324,450.13",176859
Hungary,"$42,408,249.12","$28,622,018.09","$13,786,231.03",152242
Iceland,"$25,570,227.40","$18,292,115.25","$7,278,112.15",93551
Ireland,"$33,022,223.31","$23,191,857.60","$9,830,365.71",140340
Italy,"$35,878,352.12","$24,964,430.15","$10,913,921.97",156781
Latvia,"$38,722,084.15","$27,962,798.86","$10,759,285.29",150525
Liechtenstein,"$29,872,564.41","$21,475,153.30","$8,397,411.11",96101
Lithuania,"$29,031,942.10","$21,034,644.27","$7,997,297.83",110897
Luxembourg,"$33,075,377.21","$23,204,611.10","$9,870,766.11",112682
Macedonia,"$49,222,085.25","$35,537,985.30","$13,684,099.95",203078
Malta,"$47,145,320.81","$32,535,192.93","$14,610,127.88",173641
Monaco,"$13,828,738.16","$9,031,689.39","$4,797,048.77",53423
Montenegro,"$31,346,476.90","$20,176,816.34","$11,169,660.56",137200
Netherlands,"$20,860,788.79","$15,098,298.09","$5,762,490.70",99490
Norway,"$31,520,698.50","$21,644,926.69","$9,875,771.81",138106
Poland,"$33,805,403.22","$23,134,302.23","$10,671,100.99",122650
Portugal,"$47,172,189.84","$35,826,782.25","$11,345,407.59",124825
Romania,"$34,286,150.85","$23,492,602.16","$10,793,548.69",166882
Russia,"$46,051,659.81","$32,783,977.17","$13,267,682.64",165954
San Marino,"$47,883,708.48","$34,090,715.67","$13,792,992.81",192228
Serbia,"$42,193,537.74","$30,340,023.36","$11,853,514.38",170369
Slovakia,"$42,940,998.32","$30,888,208.29","$12,052,790.03",131540
Slovenia,"$38,892,531.27","$26,769,006.75","$12,123,524.52",156479
Spain,"$26,380,296.23","$18,378,122.21","$8,002,174.02",131109
Sweden,"$35,482,128.02","$24,326,799.43","$11,155,328.59",132251
Switzerland,"$31,875,174.00","$20,837,876.40","$11,037,297.60",144320
Ukraine,"$53,252,317.54","$38,447,391.80","$14,804,925.74",164577
United Kingdom,"$26,654,989.47","$17,328,677.26","$9,326,312.21",115781
Unknow,"$103,145,646.95","$75,420,223.01","$27,725,423.94",404853
