SUM of Total Profit,Categories,,,,,,,,,,,
Order Month,Baby Food,Beverages,Cereal,Clothes,Cosmetics,Fruits,Household,Meat,Office Supplies,Personal Care,Snacks,Vegetables
April,"$2,637,683.76","$786,476.52","$980,602.71","$5,797,794.24","$3,449,059.19","$104,524.11","$6,107,647.69","$1,943,484.40","$5,656,631.25","$1,502,146.52","$2,280,921.24","$2,486,564.44"
August,"$4,650,935.48","$849,586.32","$2,522,245.89","$2,376,738.72","$3,050,549.15","$69,186.28","$7,613,801.93","$2,733,130.40","$4,246,671.25","$360,663.52","$1,553,624.64","$2,735,044.12"
December,"$3,179,484.48","$946,255.50","$2,646,360.48","$1,173,130.56","$6,933,587.86","$79,416.73","$5,316,452.67","$4,419,615.20","$7,819,041.25","$1,496,959.10","$1,293,915.24","$2,991,162.53"
February,"$2,433,022.66","$1,310,350.50","$4,640,521.38","$870,557.76","$6,147,869.33","$60,691.03","$7,963,989.42","$2,649,332.40","$6,222,231.25","$1,419,924.66","$2,050,105.20","$3,802,130.51"
January,"$8,458,782.26","$392,189.04","$4,172,234.64","$6,038,750.88","$13,805,104.13","$94,088.81","$4,381,072.55","$1,726,010.00","$5,155,923.75","$1,375,067.26","$4,216,169.82","$2,989,773.67"
July,"$2,605,378.94","$997,917.84","$5,105,264.52","$2,930,549.76","$9,650,654.35","$143,792.65","$6,146,262.78","$2,783,123.20","$7,602,017.50","$1,086,000.16","$3,498,688.14","$2,950,822.46"
June,"$5,994,125.80","$646,617.06","$4,650,443.46","$5,669,568.00","$9,534,335.32","$97,554.39","$8,450,075.51","$3,611,322.00","$5,024,245.00","$1,671,577.18","$1,992,704.46","$2,862,187.94"
March,"$5,983,677.06","$711,010.98","$2,507,274.18","$4,532,790.24","$9,607,534.59","$248,957.82","$7,109,982.73","$2,368,251.60","$8,609,366.25","$1,394,263.22","$2,919,828.42","$4,811,831.73"
May,"$6,606,287.76","$581,189.58","$2,348,166.54","$5,589,518.40","$7,442,157.61","$90,514.78","$4,699,274.15","$2,114,855.60","$10,416,256.25","$877,776.62","$1,667,047.62","$3,400,055.54"
November,"$1,818,368.34","$599,887.62","$3,892,290.24","$3,133,611.36","$6,026,160.33","$130,296.65","$4,333,342.31","$3,440,580.00","$8,805,053.75","$709,147.88","$1,891,577.70","$3,123,798.66"
October,"$4,019,697.38","$1,078,880.04","$3,712,895.49","$1,971,570.24","$7,216,300.48","$191,828.77","$4,042,983.35","$1,545,830.00","$3,712,381.25","$967,566.60","$1,952,231.70","$3,280,550.45"
September,"$5,553,553.24","$701,301.78","$4,076,734.62","$3,346,734.24","$9,859,993.83","$115,077.50","$6,797,581.68","$1,002,201.20","$4,707,357.50","$1,114,317.96","$1,710,608.22","$1,342,080.67"
