SUM of Total Profit,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order Month,Unknow,Andorra,Ukraine,Malta,San Marino,Hungary,Macedonia,Czech Republic,Russia,Bosnia and Herzegovina,Greece,Slovenia,Slovakia,Serbia,Belarus,Germany,Portugal,Montenegro,Sweden,Switzerland,Italy,France,Romania,Latvia,Poland,Albania,Bulgaria,Cyprus,Austria,Norway,Luxembourg,Ireland,Denmark,Armenia,United Kingdom,Liechtenstein,Spain,Lithuania,Estonia,Finland,Belgium,Croatia,Iceland,Netherlands,Georgia,Monaco
September,"$1,286,843.37","$1,466,368.49","$1,465,714.19","$507,465.26","$476,626.24","$2,639,997.31","$1,260,763.04","$74,823.48","$2,083,122.89",,"$338,291.86","$1,283,480.16","$157,523.94","$1,050,690.25","$1,994,511.26","$561,181.25","$881,470.50",,"$72,662.63","$1,765,642.15","$391,570.44","$312,899.88","$1,950,254.22","$1,027,813.90","$988,823.79","$1,672,455.53","$679,588.26",,"$292,844.91","$468,696.80","$3,686,588.36","$93,374.11","$1,554,562.19","$1,857,718.90","$1,318,212.04","$13,154.40",,,"$380,323.82","$1,025,102.21","$1,460,097.57","$502,977.42","$357,244.62","$21,747.84","$346,885.74","$557,427.22"
October,"$335,582.04","$1,286,227.59","$76,098.81","$1,640,299.66","$2,909,230.00","$1,845,987.75","$1,560,174.83",,"$1,884,462.35","$1,844,496.07","$1,479,461.28","$1,824,649.00","$504,559.20","$631,223.92","$454,406.82",,"$279,835.50",,"$1,160,659.64","$930,033.73",,"$385,632.74","$22,846.80","$440,978.39","$920,563.56","$352,822.14","$1,129,759.62","$168,948.96",,"$68,394.76","$1,382,899.92","$904,990.38","$315,865.44","$584,412.40","$1,037,895.06","$1,321,224.01","$48,698.87","$801,967.47","$757,621.68","$490,611.48","$20,027.10","$871,408.34","$465,706.66","$369,579.98","$2,060.55","$180,411.25"
November,"$3,474,839.97","$812,455.60","$1,293,333.97","$384,336.41","$782,755.65",,"$903,297.07","$1,264,141.76","$342,327.92","$2,801,303.96","$381,295.20","$109,662.56","$2,164,281.64","$495,617.88","$1,081,553.98","$1,868,065.94","$1,124,496.80","$2,788,228.26",,"$7,514.38","$192,480.90","$1,001,091.65","$613,859.53","$534,933.58","$2,327,551.24","$49,478.00","$510,933.75","$849,562.45","$758,423.15","$144,029.52","$492,048.00","$210,286.03","$1,150,248.39","$444,913.74","$9,033.12","$1,052,705.78","$1,266,997.17",,"$16,082.82","$656,626.25","$1,402,905.45","$367,135.00","$170,039.34","$108,448.59","$529,059.48","$965,732.96"
May,"$3,764,960.65","$973,815.70","$1,105,133.46","$2,036,238.72","$2,740,866.28","$1,792,816.81",,"$2,029,153.42","$1,301,735.96",$252.50,"$1,729,238.33","$893,546.93","$2,904,224.40","$1,125,897.50",,"$323,523.20","$45,727.81","$398,662.87","$1,271,741.41","$681,156.00",,"$399,599.20","$154,624.36","$1,353,296.76",,"$543,430.34","$2,946,452.83","$1,021,301.64","$1,552,391.18","$210,556.57","$920,716.20","$1,490,243.68","$2,413,254.21","$576,503.16","$1,224,044.80","$279,045.51","$602,480.10","$536,348.13","$1,050,506.29",,"$1,065,849.54","$806,726.76","$947,843.88","$76,307.70","$542,885.66",
March,"$3,420,803.31","$2,710,213.52","$991,122.15","$2,120,453.75","$1,432,289.25",,"$829,621.04","$666,802.16","$1,578,116.04","$1,576,685.72","$1,153,679.89","$276,743.92","$1,392,800.77","$3,086,331.90","$164,852.82","$1,118,266.83","$1,320,697.96","$2,553,314.29","$430,027.96","$1,729,495.41","$1,177,544.24","$1,662,521.94","$457,269.03","$3,410,301.05","$868,405.97","$995,266.46","$738,320.34","$2,158,361.29","$1,080,195.00","$1,087,083.70",,"$1,260,684.80","$13,594.81","$249,261.96","$1,048,873.53",,"$766,851.61","$1,203,424.32","$647,536.25","$296,434.68","$396,052.80","$123,005.32","$741,285.38","$1,105,979.76","$383,869.20","$380,326.69"
June,"$5,602,613.18","$1,788,532.92","$1,218,108.67","$1,314,682.82","$285,851.49","$1,490,443.11","$366,125.00","$1,670,188.79","$57,672.09","$680,155.92","$1,446,810.46","$799,033.10","$2,318,014.58","$1,664,397.99","$1,394,805.08",,"$363,482.88","$1,081,655.83","$2,870,921.30","$1,270,493.33","$2,968,172.96","$2,278,363.37","$1,567,437.22","$549,528.58","$361,447.20","$870,914.83","$470,886.67","$2,742,687.80",,"$1,297,038.55","$159,550.59","$881,633.57","$610,495.20","$1,223,885.48","$286,034.84","$289,844.56","$387,744.46","$821,206.08","$453,051.36","$682,995.53","$63,105.85","$988,964.08","$435,486.04",,"$244,714.89","$1,885,577.87"
July,"$2,226,121.88","$4,409.56","$1,642,165.59","$827,620.30","$1,106,662.17","$1,350,865.23","$3,649,088.94","$1,140,971.04","$1,323,847.85","$1,239,157.00","$23,039.60","$820,697.76","$186,483.48",,"$2,375,758.25","$38,767.82",,"$386,451.25","$1,612,734.23","$1,794,993.15","$2,203,634.87","$2,085,170.83","$128,920.78","$237,780.40","$1,140,854.43","$1,397,705.52","$589,503.20","$674,195.03","$1,792,441.21","$1,148,996.24",,"$832,461.54","$1,626,696.87","$96,329.58","$2,385,040.41","$433,031.26","$560,171.25","$788,290.98","$780,654.51","$941,232.50","$323,644.36",,"$418,074.80","$1,920,425.17","$1,210,203.46","$35,178.00"
January,"$2,497,913.22","$954,052.00","$3,715,884.20","$1,963,607.21","$738,966.80","$2,488,467.69",,"$248,762.80","$618,759.06","$245,290.73","$4,024,836.46","$2,039,672.70","$1,053,223.29","$421,692.48","$1,070,276.93","$1,907,985.71","$3,463,536.85","$435,078.30","$2,358,955.40","$84,423.06","$1,798,967.34","$723,087.23","$1,524,327.52","$19,847.52","$776,284.10","$703,314.24","$342,606.51","$1,055,924.36","$60,929.70","$1,085,332.39","$1,223,681.50","$1,430,354.14",,"$848,438.97","$112,995.54","$1,715,497.14","$878,861.76","$1,394,292.29","$1,445,877.95",$130.14,"$1,420,684.45","$364,115.52","$1,101,404.79","$1,047,087.88","$686,563.10","$713,175.84"
February,"$2,293,915.57","$1,738,775.59","$458,606.55","$114,914.59","$633,841.02","$172,367.64","$843,810.82","$2,922,298.67",,"$2,861,525.63","$138,591.00","$2,687,310.83","$1,176,868.04","$645,896.29","$953,610.42","$2,291,917.26","$2,940,553.15","$59,049.76",,"$383,209.48","$70,592.63","$1,145,345.52","$1,048,119.30","$407,816.28","$999,905.74",,"$866,119.69",,"$1,083,856.25","$687,818.58","$824,756.23","$161,461.58","$211,782.06","$1,937,245.48","$40,245.12","$891,778.72","$267,098.16","$964,025.54","$958,875.48","$281,117.89",,"$1,188,959.01","$872,690.48","$542,851.76","$801,202.29",
December,"$1,070,864.97","$151,237.29","$1,016,177.81","$2,656,243.10","$1,654,814.05","$787,696.40","$1,699,212.41","$627,081.08","$2,275,283.88","$1,151,046.38","$216,167.56","$33,486.95","$184,558.75","$777,627.68","$2,230,750.39","$2,027,605.18",,"$520,060.74","$566,192.53",,"$1,049,609.45",,"$1,579,693.37","$1,045,330.95",,"$1,084,498.04","$262,272.96","$974,928.19","$943,113.39","$1,969,863.51","$633,040.25","$962,533.54","$620,320.73","$661,566.01","$1,781,848.03","$4,429.50","$1,550,857.20","$2,777.50","$418,178.65","$1,147,372.33","$1,011,396.93","$500,671.60","$271,399.08",,"$173,573.24",
