SUM of Total Profit,Region,,
Order Month,Europe,Unknow,Asia
January,"$47,716,327.16","$2,497,913.22","$2,590,926.43"
March,"$44,592,473.06","$3,420,803.31","$2,791,492.45"
June,"$40,390,854.77","$5,602,613.18","$4,211,288.17"
May,"$39,927,449.34","$3,764,960.65","$2,140,690.46"
July,"$41,293,622.35","$2,226,121.88","$1,980,728.07"
September,"$36,836,094.43","$1,286,843.37","$2,204,604.64"
February,"$34,538,362.76","$2,293,915.57","$2,738,447.77"
December,"$35,414,449.19","$1,070,864.97","$1,810,067.44"
November,"$32,605,739.20","$3,474,839.97","$1,823,535.67"
April,"$32,850,955.14","$393,710.49","$488,870.44"
October,"$32,601,711.80","$335,582.04","$755,421.91"
August,"$29,788,742.91","$1,357,255.29","$1,616,179.50"
