Order ID,Order Date,Order Month,Order Year,Order weekday,Ship Date,Delivery time,Order Priority,Country Code,Country,Region,Sub-region,Product ID,Categories,Sales Channel,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
100640618,10/8/2014,October,2014,Wednesday,10/18/2014,10,M,NOR,Norway,Europe,Northern Europe,2103,Cereal,Online,650,$205.70,$117.11,"$133,705.00","$76,121.50","$57,583.50"
100983083,8/11/2016,August,2016,Thursday,8/11/2016,0,C,SRB,Serbia,Europe,Southern Europe,2103,Cereal,Offline,1993,$205.70,$117.11,"$409,960.10","$233,400.23","$176,559.87"
101025998,7/18/2014,July,2014,Friday,8/11/2014,24,M,Unknow,Unknow,Unknow,Unknow,7940,Household,Online,4693,$668.27,$502.54,"$3,136,191.11","$2,358,420.22","$777,770.89"
102230632,5/13/2017,May,2017,Saturday,6/13/2017,31,L,MNE,Montenegro,Europe,Southern Europe,2455,Clothes,Online,1171,$109.28,$35.84,"$127,966.88","$41,968.64","$85,998.24"
103435266,8/11/2012,August,2012,Saturday,9/18/2012,38,H,SRB,Serbia,Europe,Southern Europe,1270,Beverages,Offline,7648,$47.45,$31.79,"$362,897.60","$243,129.92","$119,767.68"
103450715,3/15/2015,March,2015,Sunday,4/18/2015,34,H,SVK,Slovakia,Europe,Eastern Europe,8681,Office Supplies,Online,2220,$651.21,$524.96,"$1,445,686.20","$1,165,411.20","$280,275.00"
103499639,4/20/2013,April,2013,Saturday,6/6/2013,47,L,FRA,France,Europe,Western Europe,4594,Fruits,Online,6698,$9.33,$6.92,"$62,492.34","$46,350.16","$16,142.18"
103762280,11/12/2011,November,2011,Saturday,12/14/2011,32,M,ESP,Spain,Europe,Southern Europe,5988,Vegetables,Online,4419,$154.06,$90.93,"$680,791.14","$401,819.67","$278,971.47"
103832662,9/19/2012,September,2012,Wednesday,10/20/2012,31,H,HRV,Croatia,Europe,Southern Europe,7331,Baby Food,Offline,5247,$255.28,$159.42,"$1,339,454.16","$836,476.74","$502,977.42"
104008615,1/23/2011,January,2011,Sunday,2/22/2011,30,M,DEU,Germany,Europe,Western Europe,2103,Cereal,Online,7315,$205.70,$117.11,"$1,504,695.50","$856,659.65","$648,035.85"
104165685,2/19/2012,February,2012,Sunday,3/6/2012,16,L,ARM,Armenia,Asia,Western Asia,7940,Household,Online,3796,$668.27,$502.54,"$2,536,752.92","$1,907,641.84","$629,111.08"
104190576,2/22/2017,February,2017,Wednesday,3/12/2017,18,C,GEO,Georgia,Asia,Western Asia,8875,Meat,Offline,1162,$421.89,$364.69,"$490,236.18","$423,769.78","$66,466.40"
104245078,3/27/2013,March,2013,Wednesday,4/21/2013,25,M,GBR,United Kingdom,Europe,Northern Europe,4594,Fruits,Offline,7290,$9.33,$6.92,"$68,015.70","$50,446.80","$17,568.90"
104548490,1/1/2014,January,2014,Wednesday,1/5/2014,4,M,Unknow,Unknow,Unknow,Unknow,7331,Baby Food,Online,7076,$255.28,$159.42,"$1,806,361.28","$1,128,055.92","$678,305.36"
105030000,6/2/2016,June,2016,Thursday,6/13/2016,11,C,SVN,Slovenia,Europe,Southern Europe,2455,Clothes,Offline,9566,$109.28,$35.84,"$1,045,372.48","$342,845.44","$702,527.04"
107651269,10/28/2013,October,2013,Monday,11/11/2013,14,M,HRV,Croatia,Europe,Southern Europe,7940,Household,Online,5258,$668.27,$502.54,"$3,513,763.66","$2,642,355.32","$871,408.34"
108407437,2/19/2015,February,2015,Thursday,3/27/2015,36,C,ROU,Romania,Europe,Eastern Europe,7331,Baby Food,Offline,9025,$255.28,$159.42,"$2,303,902.00","$1,438,765.50","$865,136.50"
109914195,3/12/2012,March,2012,Monday,4/16/2012,35,M,POL,Poland,Europe,Eastern Europe,2455,Clothes,Offline,4908,$109.28,$35.84,"$536,346.24","$175,902.72","$360,443.52"
111063039,5/26/2012,May,2012,Saturday,7/13/2012,48,L,LUX,Luxembourg,Europe,Western Europe,7331,Baby Food,Online,4876,$255.28,$159.42,"$1,244,745.28","$777,331.92","$467,413.36"
111246287,6/9/2017,June,2017,Friday,7/2/2017,23,M,CYP,Cyprus,Asia,Western Asia,8875,Meat,Offline,9103,$421.89,$364.69,"$3,840,464.67","$3,319,773.07","$520,691.60"
111496055,4/28/2011,April,2011,Thursday,6/4/2011,37,M,BEL,Belgium,Europe,Western Europe,4594,Fruits,Online,3015,$9.33,$6.92,"$28,129.95","$20,863.80","$7,266.15"
111893022,10/28/2016,October,2016,Friday,12/2/2016,35,L,SVN,Slovenia,Europe,Southern Europe,7331,Baby Food,Online,486,$255.28,$159.42,"$124,066.08","$77,478.12","$46,587.96"
112330758,12/15/2016,December,2016,Thursday,1/11/2017,27,C,LTU,Lithuania,Europe,Northern Europe,8681,Office Supplies,Offline,22,$651.21,$524.96,"$14,326.62","$11,549.12","$2,777.50"
